Product_ID,Product_Name,Category,Price_IDR,Rating,Review_Count,Discount_%,Shop_Followers,Sold_Quantity
BDM031,Yonex Power Cushion 65Z,Shoes,699000,4.2,1317,10,13319,3497
BDM032,Mizuno Wave Fang,Shoes,299000,4.8,850,0,60988,3670
BDM033,Yonex BG80,String,25000,5,2051,40,52767,5933
BDM034,Yonex Super Grap,Grip,25000,4.3,270,0,33751,1694
BDM035,Victor Cushion Grip,Grip,15000,4.4,3548,5,93575,8053
BDM036,Victor A970,Shoes,1799000,4.2,1297,20,90558,3491
BDM037,Mizuno Wave Fang,Shoes,1299000,5,2147,5,4086,5535
BDM038,Mizuno Wave Fang,Shoes,1299000,4.3,988,0,43118,4377
BDM039,Yonex Super Grap,Grip,19000,4.8,1362,10,6142,3145
BDM040,Victor Master Ace,Shuttlecock,129000,4.3,2028,20,129891,7920
BDM041,Victor Cushion Grip,Grip,12000,4.7,2366,10,174861,14758
BDM042,RSL Classic,Shuttlecock,79000,4.2,2595,15,76500,6174
BDM043,Li-Ning Ranger Lite,Shoes,899000,4.8,701,5,15105,3522
BDM044,Yonex Super Grap,Grip,15000,4.2,3685,0,149058,8772
BDM045,Victor A970,Shoes,299000,4.6,862,50,48834,5713
BDM046,Yonex BG65,String,89000,4.8,1289,0,117780,5108
BDM047,Mizuno Wave Fang,Shoes,899000,4.3,1974,25,97681,6136
BDM048,Yonex Power Cushion 65Z,Shoes,699000,4.5,1456,0,46302,6488
BDM049,Yonex BG80,String,35000,5,5162,25,177026,16495
BDM050,Li-Ning Ranger Lite,Shoes,899000,4.5,1323,15,111161,5947
BDM051,Victor Master Ace,Shuttlecock,249000,4.5,765,0,26237,4537
BDM052,Yonex Power Cushion 65Z,Shoes,1299000,4.6,1605,5,49327,7089
BDM053,Victor Cushion Grip,Grip,12000,4.5,881,0,96361,4575
BDM054,Victor Master Ace,Shuttlecock,99000,4.9,1082,0,15415,3255
BDM055,Yonex Team Bag,Bag,299000,4.7,1503,5,99173,8730
BDM056,Yonex Astrox 99 Play,Racket,399000,4.5,2069,5,90862,6026
BDM057,Yonex Team Bag,Bag,899000,4.8,2240,15,22024,5428
BDM058,Victor Cushion Grip,Grip,12000,4.7,830,0,91206,4905
BDM059,Yonex Astrox 99 Play,Racket,499000,4.7,2306,0,163570,6857
BDM060,Li-Ning Ranger Lite,Shoes,699000,4.9,1531,0,137639,8840
BDM061,Yonex Team Bag,Bag,899000,4.2,3303,25,74802,8426
BDM062,Victor BR Bag,Bag,299000,5,1872,30,62451,10305
BDM063,Li-Ning A+60,Shuttlecock,99000,4.3,2036,10,155734,8097
BDM064,Yonex Super Grap,Grip,25000,4.2,906,40,13266,2219
BDM065,Mizuno Wave Fang,Shoes,1299000,4.2,356,0,5935,1689
BDM066,Yonex BG65,String,25000,4.8,3553,0,76004,9298
BDM067,RSL Classic,Shuttlecock,199000,4.3,2116,0,82002,6233
BDM068,Yonex Arcsaber 11 Play,Racket,1499000,4.6,1429,0,66386,7643
BDM069,Li-Ning No.1 String,String,25000,4.6,1684,15,124915,5116
BDM070,Victor A970,Shoes,1799000,4.9,1480,25,66934,5145
BDM071,Li-Ning Ranger Lite,Shoes,499000,5,1758,25,34551,5321
BDM072,Yonex Astrox 99 Play,Racket,1499000,4.8,2451,40,38701,6356
BDM073,Li-Ning Tournament Bag,Bag,149000,4.2,774,0,111448,4422
BDM074,Yonex Power Cushion 65Z,Shoes,1799000,4.5,1247,0,79107,5489
BDM075,RSL Classic,Shuttlecock,99000,4.3,3593,0,162390,8956
BDM076,Li-Ning A+60,Shuttlecock,149000,5,1332,20,12025,4534
BDM077,RKEP Overgrip,Grip,9000,4.7,2619,0,35066,6182
BDM078,Yonex BG65,String,35000,5,2837,20,159360,14251
BDM079,RSL Classic,Shuttlecock,129000,4.2,429,10,5103,2626
BDM080,RKEP Overgrip,Grip,25000,5,2028,15,77580,5668
BDM081,Yonex BG65,String,119000,5,2023,0,78285,7302
BDM082,Yonex BG65,String,25000,4.4,3423,0,165617,8344
BDM083,RKEP Overgrip,Grip,12000,4.8,2306,0,68685,9028
BDM084,Yonex Arcsaber 11 Play,Racket,2499000,4.3,798,15,1976,3613
BDM085,Victor Thruster K12,Racket,2499000,4.6,2252,15,73187,6434
BDM086,Victor A970,Shoes,1299000,4.2,1600,30,144484,7143
BDM087,Victor Cushion Grip,Grip,9000,4.6,2473,20,80309,6163
BDM088,Yonex Aerosensa 20,Shuttlecock,249000,4.5,1534,0,126137,6898
BDM089,Yonex Super Grap,Grip,9000,4.9,1705,15,19120,3881
BDM090,Yonex Aerosensa 20,Shuttlecock,69000,4.2,1538,0,57450,5004
BDM091,Victor BR Bag,Bag,899000,4.2,1542,0,57587,3461
BDM092,Yonex Team Bag,Bag,199000,5,3460,10,120768,9080
BDM093,Yonex BG65,String,49000,4.2,2715,0,164692,10132
BDM094,Li-Ning A+60,Shuttlecock,79000,4.6,3269,10,151239,9149
BDM095,Yonex Arcsaber 11 Play,Racket,1999000,4.7,4205,5,141380,11914
BDM096,Victor A970,Shoes,699000,4.3,3082,20,102815,7047
BDM097,Li-Ning A+60,Shuttlecock,59000,5,1113,0,45864,5518
BDM098,Li-Ning No.1 String,String,25000,4.4,1588,5,139360,5925
BDM099,Yonex Team Bag,Bag,299000,4.7,1283,0,44294,4436
BDM100,Yonex BG80,String,119000,4.7,2399,0,166372,6717
BDM101,Victor Thruster K12,Racket,899000,5,2813,0,175939,13170
BDM102,Flypower Tornado 900,Racket,899000,4.7,2264,30,111825,6268
BDM103,Yonex Astrox 99 Play,Racket,2499000,4.5,2764,0,102167,10154
BDM104,Victor A970,Shoes,299000,4.4,834,0,16406,3162
BDM105,Yonex BG80,String,69000,4.7,3843,0,133352,12130
BDM106,Yonex BG80,String,89000,4.8,2322,10,84438,6894
BDM107,Mizuno Wave Fang,Shoes,899000,4.7,1320,25,36401,6443
BDM108,Li-Ning No.1 String,String,69000,4.6,1963,20,141244,10943
BDM109,Flypower Tornado 900,Racket,1299000,4.5,1174,10,32599,4184
BDM110,Yonex Aerosensa 20,Shuttlecock,99000,4.4,2196,35,32711,5119
BDM111,Yonex Astrox 77 Play,Racket,299000,4.5,648,5,35884,4156
BDM112,Yonex BG65,String,25000,4.5,1771,0,11017,3952
BDM113,Yonex Power Cushion 65Z,Shoes,399000,4.9,1603,25,70096,6313
BDM114,RSL Classic,Shuttlecock,129000,4.2,2606,20,170050,5972
BDM115,Mizuno Wave Fang,Shoes,1799000,4.6,1864,10,97477,6402
BDM116,Yonex BG80,String,119000,4.9,1092,25,170756,4823
BDM117,Yonex Super Grap,Grip,12000,4.3,1415,20,8203,5406
BDM118,Yonex BG65,String,35000,4.7,1992,15,94894,8632
BDM119,Victor Master Ace,Shuttlecock,199000,4.4,4835,5,158885,11419
BDM120,Yonex Super Grap,Grip,5000,4.9,904,0,19690,3573
BDM121,RSL Classic,Shuttlecock,99000,4.2,1204,35,35589,4479
BDM122,Yonex BG65,String,49000,4.7,2454,15,50782,6325
BDM123,Yonex Power Cushion 65Z,Shoes,1299000,4.2,871,0,41496,2996
BDM124,Yonex Astrox 99 Play,Racket,499000,4.7,2012,5,152400,9075
BDM125,Victor A970,Shoes,699000,4.3,1414,0,157628,9408
BDM126,Victor Cushion Grip,Grip,9000,4.7,3317,15,129152,8263
BDM127,Li-Ning Ranger Lite,Shoes,699000,5,4124,10,119720,9977
BDM128,Yonex Team Bag,Bag,299000,5,2081,5,10609,7174
BDM129,Yonex BG65,String,25000,5,795,0,10786,3434
BDM130,Yonex Team Bag,Bag,149000,4.3,391,0,45340,2272
BDM131,Yonex Astrox 77 Play,Racket,499000,4.7,1213,0,99016,7398
BDM132,Mizuno Wave Fang,Shoes,399000,5,2237,10,122203,11064
BDM133,Victor Master Ace,Shuttlecock,59000,4.5,1418,5,176873,5795
BDM134,Yonex BG65,String,89000,4.9,2114,5,29823,5660
BDM135,Yonex Astrox 77 Play,Racket,299000,4.9,1214,0,32043,3594
BDM136,Victor Thruster K12,Racket,499000,4.3,3146,5,64273,7340
BDM137,Flypower Tornado 900,Racket,1999000,4.9,4238,20,178620,13115
BDM138,Li-Ning A+60,Shuttlecock,79000,5,2836,30,122611,9666
BDM139,Yonex Power Cushion 65Z,Shoes,399000,4.3,2015,0,169204,4855
BDM140,Yonex Super Grap,Grip,19000,4.8,3207,10,173685,12080
BDM141,Yonex BG80,String,89000,4.2,1042,5,19711,4622
BDM142,Li-Ning Ranger Lite,Shoes,1299000,4.9,2410,40,92287,12020
BDM143,RSL Classic,Shuttlecock,99000,4.6,1270,5,73689,7042
BDM144,Li-Ning Tournament Bag,Bag,599000,4.4,3662,10,125522,8453
BDM145,Li-Ning Ranger Lite,Shoes,899000,4.6,1053,30,8462,2600
BDM146,Li-Ning Windstorm 72,Racket,299000,5,2322,40,72147,6139
BDM147,Victor Cushion Grip,Grip,9000,5,1688,0,98323,4349
BDM148,Li-Ning Windstorm 72,Racket,249000,4.8,3398,25,80752,8873
BDM149,Victor Cushion Grip,Grip,15000,4.2,3037,0,161333,9309
BDM150,RSL Classic,Shuttlecock,149000,4.7,1318,0,27750,3407
BDM151,Yonex BG65,String,119000,4.6,3324,5,148325,11340
BDM152,Yonex Arcsaber 11 Play,Racket,399000,4.8,6242,20,176194,15396
BDM153,Yonex Astrox 99 Play,Racket,399000,4.3,1195,15,22714,3350
BDM154,Li-Ning Ranger Lite,Shoes,899000,4.8,1354,0,78988,3399
BDM155,Yonex Team Bag,Bag,199000,5,1244,0,21278,5236
BDM156,Victor A970,Shoes,899000,4.8,2159,10,155213,11322
BDM157,Li-Ning Ranger Lite,Shoes,699000,4.9,3192,5,127130,12098
BDM158,Victor Thruster K12,Racket,1499000,4.2,838,25,56844,5357
BDM159,Yonex BG80,String,89000,4.2,4095,5,177611,12522
BDM160,Yonex BG80,String,69000,4.2,1203,5,49964,3495
BDM161,Li-Ning Ranger Lite,Shoes,1299000,4.5,3315,15,82881,8862
BDM162,Yonex Aerosensa 20,Shuttlecock,249000,4.2,2628,20,52684,6701
BDM163,Yonex BG65,String,25000,4.7,1173,10,141491,6286
BDM164,Victor BR Bag,Bag,399000,4.7,5262,15,164440,14139
BDM165,Yonex Astrox 77 Play,Racket,1999000,5,1711,30,12382,6979
BDM166,Li-Ning A+60,Shuttlecock,59000,4.2,1663,0,124693,3902
BDM167,Victor BR Bag,Bag,149000,4.5,3411,5,176858,10530
BDM168,Yonex BG80,String,25000,4.5,1586,0,157540,7381
BDM169,Yonex BG80,String,49000,4.3,2054,25,124777,6224
BDM170,Li-Ning No.1 String,String,35000,4.2,1734,0,139302,7963
BDM171,Yonex BG65,String,119000,4.4,1255,5,6372,3198
BDM172,Victor BR Bag,Bag,599000,4.6,2474,30,26035,5770
BDM173,Flypower Tornado 900,Racket,699000,4.5,2197,0,170074,5659
BDM174,Mizuno Wave Fang,Shoes,899000,4.2,3164,30,90418,7578
BDM175,Li-Ning Tournament Bag,Bag,299000,4.5,967,10,18426,2888
BDM176,Yonex Power Cushion 65Z,Shoes,1799000,4.2,2328,15,143816,6535
BDM177,Victor Master Ace,Shuttlecock,79000,4.3,790,0,64966,4508
BDM178,Li-Ning Tournament Bag,Bag,149000,4.6,2328,0,133104,10736
BDM179,Yonex BG65,String,49000,4.3,1931,30,86208,6923
BDM180,Mizuno Wave Fang,Shoes,1299000,4.4,4089,35,90915,9092
BDM181,Li-Ning Tournament Bag,Bag,149000,4.2,509,0,43149,2012
BDM182,Li-Ning Tournament Bag,Bag,199000,4.8,1710,0,117627,6812
BDM183,Yonex Team Bag,Bag,149000,4.2,934,15,89737,3893
BDM184,Yonex BG65,String,35000,4.2,1019,10,19296,4051
BDM185,Li-Ning Ranger Lite,Shoes,399000,4.8,1060,5,45903,2883
BDM186,Yonex Arcsaber 11 Play,Racket,199000,4.8,2576,5,118109,8287
BDM187,Yonex Team Bag,Bag,899000,4.6,2919,5,175734,11634
BDM188,Yonex Astrox 77 Play,Racket,249000,4.3,3347,0,160432,12424
BDM189,Yonex Power Cushion 65Z,Shoes,1799000,4.5,1582,20,92341,8436
BDM190,Yonex Team Bag,Bag,399000,4.6,2034,20,101189,7990
BDM191,Victor Cushion Grip,Grip,19000,4.5,1678,35,128425,5185
BDM192,RKEP Overgrip,Grip,25000,4.6,2080,30,116027,8615
BDM193,Victor A970,Shoes,399000,4.6,1668,10,26130,5991
BDM194,Yonex Super Grap,Grip,15000,4.3,1893,0,105899,5768
BDM195,Yonex Power Cushion 65Z,Shoes,299000,5,3992,50,130210,12023
BDM196,Yonex Astrox 77 Play,Racket,199000,4.7,1458,30,129778,6558
BDM197,Victor Master Ace,Shuttlecock,199000,4.3,2185,0,26381,5242
BDM198,Yonex Super Grap,Grip,25000,4.2,2003,35,38975,6628
BDM199,Yonex BG80,String,35000,4.6,735,0,49435,3987
BDM200,Victor A970,Shoes,1299000,4.6,1357,0,107100,5879
